SalePrice,PriceperSqft,YearBuilt,YrSold,MonthSold,Size,Floor,HallwayType,HeatingType,AptManageType,N_Parkinglot(Ground),N_Parkinglot(Basement),TimeToBusStop,TimeToSubway,N_APT,N_manager,N_elevators,SubwayStation,N_FacilitiesNearBy(PublicOffice),N_FacilitiesNearBy(Hospital),N_FacilitiesNearBy(Dpartmentstore),N_FacilitiesNearBy(Mall),N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(Park),N_SchoolNearBy(Elementary),N_SchoolNearBy(Middle),N_SchoolNearBy(High),N_SchoolNearBy(University),N_FacilitiesInApt,N_FacilitiesNearBy(Total),N_SchoolNearBy(Total)
393805,241.7464702,2007,2007,11,1629,3,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,5,5,Banwoldang,4,1,2,1,0,1,2,1,1,1,5,9,5
408849,241.9224852,2007,2007,11,1690,3,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,5,5,Banwoldang,4,1,2,1,0,1,2,1,1,1,5,9,5
348672,235.1126096,2007,2007,11,1483,3,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,5,5,Banwoldang,4,1,2,1,0,1,2,1,1,1,5,9,5
371681,250.6277815,2007,2007,11,1483,9,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,5,5,Banwoldang,4,1,2,1,0,1,2,1,1,1,5,9,5
326548,244.7886057,2007,2007,11,1334,4,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,5,5,Banwoldang,4,1,2,1,0,1,2,1,1,1,5,9,5
348672,235.1126096,2007,2007,11,1483,4,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,5,5,Banwoldang,4,1,2,1,0,1,2,1,1,1,5,9,5
371681,250.6277815,2007,2007,11,1483,6,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,5,5,Banwoldang,4,1,2,1,0,1,2,1,1,1,5,9,5
348672,235.1126096,2007,2007,11,1483,5,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,5,5,Banwoldang,4,1,2,1,0,1,2,1,1,1,5,9,5
371681,250.6277815,2007,2007,11,1483,8,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,5,5,Banwoldang,4,1,2,1,0,1,2,1,1,1,5,9,5
337168,227.3553608,2007,2007,11,1483,3,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,5,5,Banwoldang,4,1,2,1,0,1,2,1,1,1,5,9,5
360176,242.8698584,2007,2007,11,1483,4,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,5,5,Banwoldang,4,1,2,1,0,1,2,1,1,1,5,9,5
360176,242.8698584,2007,2007,11,1483,6,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,5,5,Banwoldang,4,1,2,1,0,1,2,1,1,1,5,9,5
95132,104.5406593,1986,2007,11,910,15,corridor,individual_heating,management_in_trust,100,18,0~5min,5min~10min,1,1,2,Sin-nam,5,1,2,1,1,1,6,2,3,2,3,11,13
110619,121.0273523,1993,2007,11,914,1,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
163716,179.1203501,2005,2007,11,914,8,mixed,individual_heating,management_in_trust,67,798,0~5min,5min~10min,8,6,0,Bangoge,5,2,0,1,5,0,3,4,4,4,7,13,15
232212,210.5276519,2007,2007,11,1103,24,terraced,individual_heating,management_in_trust,554,524,0~5min,0-5min,3,5,10,Banwoldang,2,2,2,2,0,1,2,2,2,2,4,9,8
86725,134.6661491,1993,2007,11,644,15,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
172566,97.99318569,1993,2007,11,1761,4,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
194690,83.30765939,1993,2007,11,2337,18,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
36283,102.2056338,1992,2007,11,355,4,corridor,individual_heating,management_in_trust,200,0,5min~10min,10min~15min,3,5,10,Myung-duk,7,1,1,1,5,1,4,3,5,5,3,16,17
60176,104.4722222,1992,2007,11,576,14,corridor,individual_heating,management_in_trust,200,0,5min~10min,10min~15min,3,5,10,Myung-duk,7,1,1,1,5,1,4,3,5,5,3,16,17
88495,137.4145963,1993,2007,11,644,19,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
61946,107.5451389,1992,2007,11,576,8,corridor,individual_heating,management_in_trust,200,0,5min~10min,10min~15min,3,5,10,Myung-duk,7,1,1,1,5,1,4,3,5,5,3,16,17
81858,127.1086957,1992,2007,11,644,16,mixed,individual_heating,self_management,142,79,5min~10min,15min~20min,3,4,8,Myung-duk,5,1,1,1,1,0,3,3,4,4,3,9,14
60176,104.4722222,1992,2007,11,576,11,corridor,individual_heating,management_in_trust,200,0,5min~10min,10min~15min,3,5,10,Myung-duk,7,1,1,1,5,1,4,3,5,5,3,16,17
191150,220.218894,2007,2007,11,868,8,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,14,16,Kyungbuk_uni_hospital,3,1,2,1,0,2,3,3,2,2,10,9,10
408849,248.8429702,2007,2007,11,1643,4,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,14,16,Kyungbuk_uni_hospital,3,1,2,1,0,2,3,3,2,2,10,9,10
162831,143.9708223,1986,2007,11,1131,5,terraced,central_heating,management_in_trust,713,0,0~5min,10min~15min,7,8,27,Kyungbuk_uni_hospital,5,1,1,0,1,1,3,1,1,1,4,9,6
203539,234.4919355,2007,2007,11,868,21,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,14,16,Kyungbuk_uni_hospital,3,1,2,1,0,2,3,3,2,2,10,9,10
94690,104.0549451,1986,2007,12,910,16,corridor,individual_heating,management_in_trust,100,18,0~5min,5min~10min,1,1,2,Sin-nam,5,1,2,1,1,1,6,2,3,2,3,11,13
242920,169.0466249,2006,2007,12,1437,4,terraced,individual_heating,management_in_trust,249,536,0~5min,0-5min,6,5,11,Sin-nam,1,1,0,1,0,0,2,2,1,2,5,3,7
307964,176.6861733,2006,2007,12,1743,15,terraced,individual_heating,management_in_trust,249,536,0~5min,0-5min,6,5,11,Sin-nam,1,1,0,1,0,0,2,2,1,2,5,3,7
287486,210.4582723,2007,2007,12,1366,19,terraced,individual_heating,management_in_trust,554,524,0~5min,0-5min,3,5,10,Banwoldang,2,2,2,2,0,1,2,2,2,2,4,9,8
285840,209.2532943,2007,2007,12,1366,20,terraced,individual_heating,management_in_trust,554,524,0~5min,0-5min,3,5,10,Banwoldang,2,2,2,2,0,1,2,2,2,2,4,9,8
132743,145.2330416,1993,2007,12,914,16,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
176991,193.6444201,2007,2007,12,914,30,terraced,individual_heating,management_in_trust,554,524,0~5min,0-5min,3,5,10,Banwoldang,2,2,2,2,0,1,2,2,2,2,4,9,8
323982,223.7444751,2007,2007,12,1448,30,terraced,individual_heating,management_in_trust,554,524,0~5min,0-5min,3,5,10,Banwoldang,2,2,2,2,0,1,2,2,2,2,4,9,8
92035,142.9114907,1993,2007,12,644,15,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
115044,125.868709,1993,2007,12,914,9,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
137168,150.0743982,1993,2007,12,914,21,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
265486,190.4490674,2007,2007,12,1394,24,terraced,individual_heating,management_in_trust,554,524,0~5min,0-5min,3,5,10,Banwoldang,2,2,2,2,0,1,2,2,2,2,4,9,8
97345,151.1568323,1993,2007,12,644,17,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
199469,180.8422484,2007,2007,12,1103,17,terraced,individual_heating,management_in_trust,554,524,0~5min,0-5min,3,5,10,Banwoldang,2,2,2,2,0,1,2,2,2,2,4,9,8
290000,212.2986823,2007,2007,12,1366,18,terraced,individual_heating,management_in_trust,554,524,0~5min,0-5min,3,5,10,Banwoldang,2,2,2,2,0,1,2,2,2,2,4,9,8
82300,127.7950311,1993,2007,12,644,8,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
134513,147.1695842,1993,2007,12,914,11,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
201769,232.452765,2007,2007,12,868,24,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,14,16,Kyungbuk_uni_hospital,3,1,2,1,0,2,3,3,2,2,10,9,10
185840,164.3147657,1986,2007,12,1131,5,terraced,central_heating,management_in_trust,713,0,0~5min,10min~15min,7,8,27,Kyungbuk_uni_hospital,5,1,1,0,1,1,3,1,1,1,4,9,6
174336,154.1432361,1986,2007,12,1131,11,terraced,central_heating,management_in_trust,713,0,0~5min,10min~15min,7,8,27,Kyungbuk_uni_hospital,5,1,1,0,1,1,3,1,1,1,4,9,6
319469,230.3309301,2007,2007,12,1387,30,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,14,16,Kyungbuk_uni_hospital,3,1,2,1,0,2,3,3,2,2,10,9,10
170796,124.0348584,1986,2007,12,1377,2,terraced,central_heating,management_in_trust,713,0,0~5min,10min~15min,7,8,27,Kyungbuk_uni_hospital,5,1,1,0,1,1,3,1,1,1,4,9,6
112389,122.963895,1997,2008,1,914,11,mixed,individual_heating,management_in_trust,82,56,5min~10min,15min~20min,1,2,4,Chil-sung-market,7,1,2,1,1,1,4,0,0,3,5,13,7
72566,107.3461538,1985,2008,1,676,6,corridor,individual_heating,self_management,80,76,0~5min,5min~10min,1,2,2,Daegu,5,1,2,1,2,1,2,1,1,0,3,12,4
448672,265.4863905,2007,2008,1,1690,18,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,5,5,Banwoldang,4,1,2,1,0,1,2,1,1,1,5,9,5
462831,273.864497,2007,2008,1,1690,20,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,5,5,Banwoldang,4,1,2,1,0,1,2,1,1,1,5,9,5
317699,249.5671642,2007,2008,1,1273,13,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,5,5,Banwoldang,4,1,2,1,0,1,2,1,1,1,5,9,5
295460,232.0974077,2007,2008,1,1273,18,terraced,individual_heating,management_in_trust,7,605,0~5min,0-5min,2,5,5,Banwoldang,4,1,2,1,0,1,2,1,1,1,5,9,5
44247,87.1003937,1986,2008,1,508,1,corridor,individual_heating,management_in_trust,100,18,0~5min,5min~10min,1,1,2,Sin-nam,5,1,2,1,1,1,6,2,3,2,3,11,13
51327,101.0374016,1986,2008,1,508,11,corridor,individual_heating,management_in_trust,100,18,0~5min,5min~10min,1,1,2,Sin-nam,5,1,2,1,1,1,6,2,3,2,3,11,13
52212,95.45155393,1986,2008,1,547,4,corridor,individual_heating,management_in_trust,100,18,0~5min,5min~10min,1,1,2,Sin-nam,5,1,2,1,1,1,6,2,3,2,3,11,13
265486,184.750174,2006,2008,1,1437,28,terraced,individual_heating,management_in_trust,249,536,0~5min,0-5min,6,5,11,Sin-nam,1,1,0,1,0,0,2,2,1,2,5,3,7
38761,109.1859155,1992,2008,1,355,3,corridor,individual_heating,management_in_trust,200,0,5min~10min,10min~15min,3,5,10,Myung-duk,7,1,1,1,5,1,4,3,5,5,3,16,17
39823,112.1774648,1992,2008,1,355,12,corridor,individual_heating,management_in_trust,200,0,5min~10min,10min~15min,3,5,10,Myung-duk,7,1,1,1,5,1,4,3,5,5,3,16,17
84070,130.5434783,1993,2008,1,644,21,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
212389,179.3826014,2005,2008,1,1184,17,mixed,individual_heating,management_in_trust,67,798,0~5min,5min~10min,8,6,0,Bangoge,5,2,0,1,5,0,3,4,4,4,7,13,15
225663,204.5902085,2007,2008,1,1103,14,terraced,individual_heating,management_in_trust,554,524,0~5min,0-5min,3,5,10,Banwoldang,2,2,2,2,0,1,2,2,2,2,4,9,8
151327,203.6702557,2005,2008,1,743,10,mixed,individual_heating,management_in_trust,67,798,0~5min,5min~10min,8,6,0,Bangoge,5,2,0,1,5,0,3,4,4,4,7,13,15
91150,141.5372671,1993,2008,1,644,20,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
131415,176.8707941,2005,2008,1,743,3,mixed,individual_heating,management_in_trust,67,798,0~5min,5min~10min,8,6,0,Bangoge,5,2,0,1,5,0,3,4,4,4,7,13,15
135398,148.1378556,1993,2008,1,914,10,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
163539,178.9266958,2007,2008,1,914,26,terraced,individual_heating,management_in_trust,554,524,0~5min,0-5min,3,5,10,Banwoldang,2,2,2,2,0,1,2,2,2,2,4,9,8
176991,193.6444201,2007,2008,1,914,26,terraced,individual_heating,management_in_trust,554,524,0~5min,0-5min,3,5,10,Banwoldang,2,2,2,2,0,1,2,2,2,2,4,9,8
80530,125.0465839,1993,2008,1,644,2,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
86283,133.9798137,1993,2008,1,644,12,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
126106,137.9715536,1993,2008,1,914,17,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,0,1,5,0,4,3,5,5,4,14,17
207964,151.02687,1986,2008,1,1377,10,terraced,central_heating,management_in_trust,713,0,0~5min,10min~15min,7,8,27,Kyungbuk_uni_hospital,5,1,1,0,1,1,3,1,1,1,4,9,6
198230,228.375576,2007,2008,1,868,11,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,14,16,Kyungbuk_uni_hospital,3,1,2,1,0,2,3,3,2,2,10,9,10
